uni_name,foundation_year,type,city,region,year
İSTANBUL KENT ÜNİVERSİTESİ,07.09.2016,VAKIF,İstanbul,MARMARA,2023
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2023
İSTANBUL MEDENİYET ÜNİVERSİTESİ,21.07.2010,DEVLET,İstanbul,MARMARA,2023
İSTANBUL MEDİPOL ÜNİVERSİTESİ,07.07.2009,VAKIF,İstanbul,MARMARA,2023
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,17.09.2009,VAKIF,İstanbul,MARMARA,2023
İSTANBUL OKAN ÜNİVERSİTESİ,18.12.1999,VAKIF,İstanbul,MARMARA,2023
İSTANBUL RUMELİ ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2023
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2023
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,06.03.2010,VAKIF MYO,İstanbul,MARMARA,2023
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,VAKIF,İstanbul,MARMARA,2023
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,18.05.2012,VAKIF MYO,İstanbul,MARMARA,2023
İSTANBUL TEKNİK ÜNİVERSİTESİ,01.01.1944,DEVLET,İstanbul,MARMARA,2023
İSTANBUL TİCARET ÜNİVERSİTESİ,14.04.2001,VAKIF,İstanbul,MARMARA,2023
İSTANBUL TOPKAPI ÜNİVERSİTESİ,24.11.2016,VAKIF,İstanbul,MARMARA,2023
İSTANBUL ÜNİVERSİTESİ,18.11.1933,DEVLET,İstanbul,MARMARA,2023
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,18.05.2018,DEVLET,İstanbul,MARMARA,2023
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,28.02.2009,VAKIF,İstanbul,MARMARA,2023
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2023
İSTİNYE ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2023
İZMİR BAKIRÇAY ÜNİVERSİTESİ,07.09.2016,DEVLET,İzmir,EGE,2023
İZMİR DEMOKRASİ ÜNİVERSİTESİ,07.09.2016,DEVLET,İzmir,EGE,2023
İZMİR EKONOMİ ÜNİVERSİTESİ,14.04.2001,VAKIF,İzmir,EGE,2023
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,21.07.2010,DEVLET,İzmir,EGE,2023
İZMİR KAVRAM MESLEK YÜKSEKOKULU,12.07.2008,VAKIF MYO,İzmir,EGE,2023
İZMİR TINAZTEPE ÜNİVERSİTESİ,18.05.2018,VAKIF,İzmir,EGE,2023
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,11.07.1992,DEVLET,İzmir,EGE,2023
KADİR HAS ÜNİVERSİTESİ,30.05.1997,VAKIF,İstanbul,MARMARA,2023
KAFKAS ÜNİVERSİTESİ,11.07.1992,DEVLET,Kars,DOĞU ANADOLU,2023
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,18.05.2018,DEVLET,Kahramanmaraş,AKDENİZ,2023
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,11.07.1992,DEVLET,Kahramanmaraş,AKDENİZ,2023
KAPADOKYA ÜNİVERSİTESİ,16.09.2005,VAKIF,Nevşehir,İÇ ANADOLU,2023
KARABÜK ÜNİVERSİTESİ,29.05.2007,DEVLET,Karabük,KARADENİZ,2023
KARADENİZ TEKNİK ÜNİVERSİTESİ,20.05.1955,DEVLET,Trabzon,KARADENİZ,2023
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,29.05.2007,DEVLET,Karaman,İÇ ANADOLU,2023
KASTAMONU ÜNİVERSİTESİ,17.03.2006,DEVLET,Kastamonu,KARADENİZ,2023
KAYSERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Kayseri,İÇ ANADOLU,2023
KIRIKKALE ÜNİVERSİTESİ,11.07.1992,DEVLET,Kırıkkale,İÇ ANADOLU,2023
KIRKLARELİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Kırklareli,MARMARA,2023
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Kırşehir,İÇ ANADOLU,2023
KİLİS 7 ARALIK ÜNİVERSİTESİ,29.05.2007,DEVLET,Kilis,GÜNEYDOĞU ANADOLU,2023
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,17.04.2020,VAKIF,Kocaeli,MARMARA,2023
KOCAELİ ÜNİVERSİTESİ,11.07.1992,DEVLET,Kocaeli,MARMARA,2023
KOÇ ÜNİVERSİTESİ,07.03.1992,VAKIF,İstanbul,MARMARA,2023
KONYA GIDA VE TARIM ÜNİVERSİTESİ,18.06.2013,VAKIF,Konya,İÇ ANADOLU,2023
KONYA TEKNİK ÜNİVERSİTESİ,18.05.2018,DEVLET,Konya,İÇ ANADOLU,2023
KTO KARATAY ÜNİVERSİTESİ,07.07.2009,VAKIF,Konya,İÇ ANADOLU,2023
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,11.07.1992,DEVLET,Kütahya,EGE,2023
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Kütahya,EGE,2023
LOKMAN HEKİM ÜNİVERSİTESİ,20.12.2017,VAKIF,Ankara,İÇ ANADOLU,2023
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,18.05.2018,DEVLET,Malatya,DOĞU ANADOLU,2023
MALTEPE ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2023
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,11.07.1992,DEVLET,Manisa,EGE,2023
MARDİN ARTUKLU ÜNİVERSİTESİ,29.05.2007,DEVLET,Mardin,GÜNEYDOĞU ANADOLU,2023
MARMARA ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2023
MEF ÜNİVERSİTESİ,27.04.2012,VAKIF,İstanbul,MARMARA,2023
MERSİN ÜNİVERSİTESİ,11.07.1992,DEVLET,Mersin,AKDENİZ,2023
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2023
MUDANYA ÜNİVERSİTESİ,11.03.2022,VAKIF,Bursa,MARMARA,2023
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,11.07.1992,DEVLET,Muğla,EGE,2023
MUNZUR ÜNİVERSİTESİ,22.05.2008,DEVLET,Tunceli,DOĞU ANADOLU,2023
MUŞ ALPARSLAN ÜNİVERSİTESİ,29.05.2007,DEVLET,Muş,DOĞU ANADOLU,2023
NECMETTİN ERBAKAN ÜNİVERSİTESİ,11.04.2012,DEVLET,Konya,İÇ ANADOLU,2023
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Nevşehir,İÇ ANADOLU,2023
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,11.07.1992,DEVLET,Niğde,İÇ ANADOLU,2023
NUH NACİ YAZGAN ÜNİVERSİTESİ,07.07.2009,VAKIF,Kayseri,İÇ ANADOLU,2023
ONDOKUZ MAYIS ÜNİVERSİTESİ,11.04.1975,DEVLET,Samsun,KARADENİZ,2023
ORDU ÜNİVERSİTESİ,17.03.2006,DEVLET,Ordu,KARADENİZ,2023
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,15.11.1956,DEVLET,Ankara,İÇ ANADOLU,2023
